@relation bookkeeper
@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute CHURN numeric
@attribute AVERAGE_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVERAGE_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute N_FIX numeric
@attribute Buggy {true,false}
@data
52,52,52,0,0,0,0,2,2,0,true
429,429,429,10,20,4,7,3,2,0,true
103,104,104,0,0,0,0,2,2,0,false
35,35,35,0,0,0,0,1,1,0,true
98,98,98,0,0,0,0,2,2,0,false
79,79,79,0,0,1,1,3,2,0,false
58,58,58,0,0,1,1,2,2,0,false
51,51,51,0,0,0,0,1,1,0,false
57,57,57,0,0,0,0,1,1,0,false
230,230,230,0,0,0,0,3,2,0,true
134,134,134,0,0,1,1,3,2,0,true
222,222,222,0,0,0,1,4,2,0,true
62,62,62,0,0,1,1,2,2,0,true
129,129,129,0,0,1,1,3,2,0,true
65,65,65,0,0,0,0,2,2,0,true
116,116,116,0,0,0,0,1,1,0,false
166,166,166,0,0,0,0,2,2,0,false
693,693,693,0,0,1,1,3,2,0,true
93,93,93,0,0,0,0,3,2,0,true
260,260,260,0,0,0,0,3,2,0,true
170,170,170,0,0,0,0,1,1,0,false
168,168,168,3,8,-35,-16,8,3,0,true
112,112,112,0,0,0,0,2,2,0,false
48,48,48,0,0,0,0,2,2,0,false
76,76,76,0,0,0,0,2,2,0,false
129,129,129,0,0,0,0,2,2,0,true
53,53,53,0,0,0,0,1,1,0,false
306,306,306,0,0,1,1,3,2,0,false
54,54,54,0,0,0,0,1,1,0,false
268,268,268,0,0,0,0,2,2,0,false
52,52,52,0,0,0,0,2,2,0,false
206,206,206,0,0,0,0,2,2,0,false
64,64,64,0,0,0,0,2,2,0,false
206,206,206,0,0,0,0,1,1,0,false
315,315,315,0,0,-2,1,4,3,0,false
47,47,47,0,0,0,0,1,1,0,false
92,92,92,0,0,0,0,2,2,0,false
215,215,215,0,0,-15,-4,3,1,1,false
271,271,271,0,0,-3,-3,2,1,0,false
447,447,447,21,36,30,54,4,3,1,false
137,0,0,0,0,0,0,0,0,0,false
368,266,254,137,137,327,327,2,2,0,true
214,214,214,0,0,3,3,3,1,1,true
764,362,106,402,519,453,684,20,3,11,true
51,51,51,1,1,1,1,2,2,0,false
150,58,58,0,0,-5,-5,2,2,1,false
31,31,31,2,2,2,2,2,2,0,false
180,0,0,0,0,0,0,0,0,0,false
196,196,196,1,1,1,1,2,1,2,true
473,36,330,91,190,88,254,12,3,7,true
40,40,40,0,0,0,0,1,1,1,false
255,51,99,1,5,-1,6,4,1,3,true
379,379,379,0,0,2,8,4,3,1,true
509,509,509,10,21,-42,25,7,3,2,true
32,32,32,0,0,0,0,1,1,0,false
66,66,66,3,3,3,3,2,1,0,false
187,187,187,1,2,-1,1,4,2,3,true
576,576,576,1,2,2,4,3,2,1,true
158,158,158,0,0,-1,-1,3,1,2,true
46,-475,481,453,544,456,547,8,2,4,true
27,27,27,52,52,52,52,2,1,0,false
774,774,774,6,20,-15,0,6,3,4,true
60,60,60,0,0,0,0,1,1,0,false
62,-7,11,83,123,83,123,5,1,2,true
88,88,88,25,25,25,25,2,1,0,true
52,52,52,1,1,1,1,2,1,0,true
163,6,6,0,0,-2,-2,2,2,1,false
91,91,91,0,0,0,0,1,1,0,true
147,0,0,0,0,0,0,0,0,0,false
139,2,2,0,0,0,0,1,1,1,false
282,11,11,0,0,0,0,1,1,1,false
618,74,86,2,5,3,7,5,3,5,true
791,67,65,0,0,1,1,3,2,2,true
216,11,11,0,0,-7,-7,2,1,2,false
55,5,5,0,0,0,0,1,1,0,false
184,-1,1,1,2,1,2,3,2,2,false
