Project,#TrainingRelease,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,Kappa,AUC
bookkeeper,4,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.728856,0.909938,-0.017563,0.663201
bookkeeper,4,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.731818,1.000000,0.000000,0.851379
bookkeeper,4,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.730570,0.875776,-0.006737,0.684296
bookkeeper,4,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.748619,0.841615,0.078901,0.722655
bookkeeper,4,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.731818,1.000000,0.000000,0.843233
bookkeeper,4,IBK,BEST_FIRST,NONE,NONE,0.788520,0.810559,0.222720,0.726300
bookkeeper,4,RANDOM_FOREST,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.775132,0.909938,0.223145,0.702942
bookkeeper,4,NAIVE_BAYES,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.731818,1.000000,0.000000,0.843233
bookkeeper,4,IBK,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.790698,0.844720,0.249273,0.726300
bookkeeper,4,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,NONE,0.768156,0.854037,0.166764,0.700890
bookkeeper,4,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,NONE,0.731818,1.000000,0.000000,0.757988
bookkeeper,4,IBK,BEST_FIRST,OVER_SAMPLING,NONE,0.782353,0.826087,0.209071,0.722984
bookkeeper,4,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.768844,0.950311,0.214390,0.716312
bookkeeper,4,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.731818,1.000000,0.000000,0.757988
bookkeeper,4,IBK,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.783708,0.866460,0.235403,0.722984
