Version,File_Name,LOC,LOC_TOUCHED,CHURN,AVERAGE_LOC_ADDED,MAX_LOC_ADDED,AVERAGE_CHURN,MAX_CHURN,NR,AGE,N_FIX,Buggy
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,114,114,0,0,0,1,4,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,336,336,1,8,5,13,6,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,84,84,0,0,0,1,4,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,58,58,0,0,0,0,3,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,123,123,0,0,0,1,4,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,369,0,0,0,0,1,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,231,231,0,0,2,7,5,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,586,586,0,0,0,1,4,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,366,366,0,0,0,1,5,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,99,99,0,0,0,1,4,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,41,41,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,66,66,10,10,21,21,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,54,54,0,0,-9,-9,3,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,47,47,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,183,183,1,2,1,2,4,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,49,49,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,50,50,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,98,98,0,0,1,1,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,138,138,0,0,0,0,1,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,43,43,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,42,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,56,0,0,0,0,1,1.0,0,true
0,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,51,51,51,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,41,41,41,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,104,104,104,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,54,54,54,0,0,0,0,1,1.0,0,false
0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,162,162,0,0,0,0,2,1.0,0,true
