Project,#TrainingRelease,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,Kappa,AUC
avro,4,RANDOM_FOREST,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.906977,0.829787,0.021944,0.605437
avro,4,NAIVE_BAYES,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.900901,0.709220,-0.012734,0.568322
avro,4,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.928571,0.645390,0.078358,0.598818
avro,4,RANDOM_FOREST,NONE,SMOTE,NONE,0.932039,0.680851,0.100466,0.616312
avro,4,NAIVE_BAYES,NONE,SMOTE,NONE,0.917647,0.553191,0.032430,0.525296
avro,4,IBK,NONE,SMOTE,NONE,0.924731,0.609929,0.058961,0.582742
avro,4,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.901639,0.780142,-0.012681,0.623168
avro,4,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.898148,0.687943,-0.022890,0.525296
avro,4,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.924731,0.609929,0.058961,0.582742
avro,4,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.930000,0.659574,0.086845,0.617021
avro,4,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.000000,0.000000,0.000000,0.603783
avro,4,IBK,BEST_FIRST,NONE,NONE,0.920792,0.659574,0.057605,0.527423
avro,4,RANDOM_FOREST,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.896552,0.737589,-0.035772,0.596927
avro,4,NAIVE_BAYES,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.922222,0.588652,0.048423,0.603783
avro,4,IBK,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.920792,0.659574,0.057605,0.527423
avro,4,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,NONE,0.932584,0.588652,0.074012,0.639007
avro,4,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,NONE,0.000000,0.000000,0.000000,0.603073
avro,4,IBK,BEST_FIRST,OVER_SAMPLING,NONE,0.936842,0.631206,0.097546,0.538771
avro,4,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.895652,0.730496,-0.039169,0.585343
avro,4,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.957746,0.482270,0.091494,0.603073
avro,4,IBK,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.936842,0.631206,0.097546,0.538771
avro,4,RANDOM_FOREST,BEST_FIRST,SMOTE,NONE,0.934783,0.609929,0.085352,0.624113
avro,4,NAIVE_BAYES,BEST_FIRST,SMOTE,NONE,0.000000,0.000000,0.000000,0.601418
avro,4,IBK,BEST_FIRST,SMOTE,NONE,0.941176,0.567376,0.087719,0.557920
avro,4,RANDOM_FOREST,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.909091,0.709220,0.022124,0.611348
