@relation avro
@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute CHURN numeric
@attribute AVERAGE_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVERAGE_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute N_FIX numeric
@attribute Buggy {true,false}
@data
34,0,0,0,0,0,0,0,0,0,false
36,0,0,0,0,0,0,0,0,0,false
36,0,0,0,0,0,0,0,0,0,false
26,0,0,0,0,0,0,0,0,0,false
441,13,13,0,0,-1,-1,2,1,1,true
465,3,3,0,0,0,0,1,1,0,true
191,0,0,0,0,0,0,0,0,0,true
24,0,0,0,0,0,0,0,0,0,false
24,0,0,0,0,0,0,0,0,0,false
57,0,0,0,0,0,0,0,0,0,false
54,0,0,0,0,0,0,0,0,0,false
192,0,0,0,0,0,0,0,0,0,false
300,0,0,0,0,0,0,0,0,0,false
250,0,0,0,0,0,0,0,0,0,false
627,0,0,0,0,0,0,0,0,0,false
37,0,0,0,0,0,0,0,0,0,false
35,0,0,0,0,0,0,0,0,0,false
279,0,0,0,0,0,0,0,0,0,false
274,0,0,0,0,0,0,0,0,0,false
398,0,0,0,0,0,0,0,0,0,false
238,-2,2,0,0,0,0,1,1,1,false
74,0,0,0,0,0,0,0,0,0,false
69,0,0,0,0,0,0,0,0,0,false
203,0,0,0,0,0,0,0,0,0,false
229,0,0,0,0,0,0,0,0,0,false
202,0,0,0,0,0,0,0,0,0,false
101,-1,1,0,0,0,0,1,1,1,false
165,21,21,0,0,0,0,1,1,1,false
337,0,0,0,0,0,0,0,0,0,false
94,0,0,0,0,0,0,0,0,0,false
381,1,-1,0,0,0,0,1,1,1,false
138,0,0,0,0,0,0,0,0,0,false
40,0,0,0,0,0,0,0,0,0,false
86,0,0,0,0,0,0,0,0,0,false
90,0,0,0,0,0,0,0,0,0,false
78,79,79,0,0,0,0,1,1,0,false
84,84,84,0,0,0,0,1,1,0,false
59,59,59,22,22,25,25,2,1,0,false
117,118,118,0,0,-2,-2,3,1,0,false
149,0,0,0,0,0,0,1,1,0,false
74,0,0,0,0,0,0,1,1,0,false
230,-1,5,0,0,0,0,2,1,0,false
208,3,-3,0,0,0,0,2,1,0,false
55,56,56,0,0,0,0,1,1,0,false
29,29,29,0,0,0,0,1,1,0,false
110,0,0,0,0,0,0,1,1,0,false
96,10,2,0,0,0,0,1,1,0,false
42,0,0,0,0,0,0,0,0,0,false
36,0,0,0,0,0,0,0,0,0,false
355,56,56,0,0,0,0,1,1,0,true
100,15,-15,0,0,0,0,1,1,0,true
73,8,8,0,0,0,0,1,1,0,true
111,2,-2,0,0,0,0,1,1,0,false
99,29,-29,0,0,0,0,1,1,0,true
79,-22,22,0,0,0,0,1,1,0,false
28,0,0,0,0,0,0,1,1,0,false
309,28,158,0,0,-1,-1,3,2,2,true
94,29,27,0,0,0,0,1,1,0,true
45,-2,6,0,0,0,0,1,1,0,true
39,4,4,0,0,0,0,1,1,0,false
40,0,0,0,0,0,0,0,0,0,true
28,0,0,0,0,0,0,0,0,0,false
27,0,0,0,0,0,0,0,0,0,false
71,0,0,0,0,0,0,0,0,0,true
80,0,0,0,0,0,0,1,1,0,false
40,0,0,0,0,0,0,1,1,0,true
87,0,0,0,0,0,0,0,0,0,false
53,0,0,0,0,0,0,0,0,0,true
47,0,0,0,0,0,0,0,0,0,false
85,0,0,0,0,0,0,0,0,0,false
174,-2,2,0,0,0,0,1,1,0,false
139,0,0,0,0,0,0,0,0,0,false
110,110,110,0,0,0,0,1,1,0,false
225,3,5,0,0,0,0,1,1,0,true
141,0,0,0,0,0,0,1,1,0,true
234,58,58,0,0,-58,-58,2,1,1,false
39,39,39,0,0,0,0,1,1,0,false
98,98,98,0,0,0,0,1,1,0,false
42,42,42,0,0,0,0,1,1,0,false
192,0,0,0,0,0,0,1,1,0,false
42,0,0,0,0,0,0,0,0,0,false
41,41,41,0,0,0,0,1,1,0,false
39,0,0,0,0,0,0,0,0,0,true
45,0,0,0,0,0,0,0,0,0,false
175,8,8,0,0,-7,-7,3,1,1,false
46,0,0,0,0,0,0,0,0,0,false
144,11,-11,0,0,0,0,1,1,0,true
295,3,3,0,0,0,0,1,1,1,true
78,0,0,0,0,0,0,0,0,0,false
483,0,0,0,0,0,0,0,0,0,false
163,0,0,0,0,0,0,0,0,0,false
213,0,0,0,0,0,0,0,0,0,false
120,0,0,0,0,0,0,0,0,0,false
844,0,0,0,0,0,0,0,0,0,false
28,29,29,0,0,0,0,1,1,0,false
28,29,29,0,0,0,0,1,1,0,false
387,388,388,0,1,0,1,3,2,0,false
1087,1087,1087,1,1,-51,-43,7,3,1,false
25,26,26,0,0,0,0,1,1,0,false
50,50,50,2,4,17,19,4,2,0,false
76,76,76,0,0,-6,-6,2,2,0,false
38,38,38,1,1,-1,-1,3,2,0,false
168,169,169,16,30,17,36,3,1,0,false
267,268,268,8,15,-24,-7,6,2,1,false
374,374,374,6,10,-77,-49,6,2,0,false
145,145,145,4,6,4,5,5,2,0,false
85,85,85,0,0,0,0,1,1,0,false
64,64,64,6,6,16,17,5,2,0,false
36,37,37,0,0,0,0,1,1,0,false
36,37,37,0,0,0,0,1,1,0,false
36,37,37,0,0,0,0,1,1,0,false
26,27,27,0,0,0,0,1,1,0,false
491,491,491,4,4,6,8,6,3,3,false
354,355,355,104,141,112,152,5,3,1,false
196,197,197,1,1,1,1,3,2,1,false
24,24,24,0,0,0,0,1,1,0,false
27,27,27,4,4,5,5,2,1,1,false
55,56,56,0,0,0,0,1,1,0,true
54,55,55,0,0,0,0,1,1,0,true
26,26,26,0,0,0,0,1,1,1,false
187,187,187,14,15,14,15,3,2,0,false
983,983,983,47,49,-370,-362,4,2,0,false
252,253,253,0,0,2,2,2,2,1,false
620,621,621,1,1,2,2,2,2,1,false
37,38,38,0,0,0,0,1,1,0,false
35,36,36,0,0,0,0,1,1,0,false
286,287,287,0,0,-7,-7,2,1,0,false
232,232,232,0,0,0,0,1,1,0,false
203,203,203,0,0,0,0,1,1,0,false
270,271,271,0,0,0,0,1,1,0,false
425,426,426,0,0,-1,-1,6,2,1,false
244,245,245,0,0,6,6,6,2,2,false
74,75,75,0,0,0,0,1,1,0,false
69,70,70,0,0,0,0,1,1,0,false
228,229,229,2,4,24,33,11,2,1,false
231,232,232,0,0,-1,0,6,2,1,false
202,203,203,0,0,0,0,5,2,1,false
99,100,100,1,2,1,2,5,2,0,false
191,192,192,5,7,-3,14,6,2,1,false
447,448,448,4,8,61,112,10,2,2,true
95,96,96,0,0,0,0,6,2,1,false
549,550,550,11,15,-98,15,10,2,1,false
136,137,137,1,2,1,2,5,2,0,false
40,41,41,0,0,0,0,1,1,0,false
86,87,87,0,0,0,0,1,1,0,false
90,91,91,0,0,0,0,1,1,0,false
79,80,80,0,0,1,1,2,1,0,false
85,85,85,0,0,1,1,2,1,0,false
59,59,59,0,0,0,0,1,1,0,false
112,113,113,0,0,1,1,2,1,0,false
52,52,52,0,0,0,0,1,1,0,false
157,157,157,0,0,0,0,1,1,0,true
74,74,74,0,0,0,0,1,1,0,false
230,231,231,1,1,-1,-1,2,1,0,true
211,212,212,0,0,1,1,2,1,0,true
55,56,56,0,0,0,0,1,1,0,false
29,29,29,0,0,0,0,1,1,0,false
111,112,112,0,0,1,1,2,1,0,false
98,99,99,0,0,1,1,2,1,0,false
43,44,44,0,0,0,0,1,1,0,false
54,54,54,0,0,0,0,1,1,0,false
205,205,205,0,0,0,0,1,1,0,false
121,121,121,0,0,0,0,1,1,0,false
107,107,107,0,0,0,0,1,1,0,false
74,74,74,0,0,0,0,1,1,0,false
76,76,76,1,1,1,1,2,2,0,false
412,412,412,2,2,2,3,3,2,0,true
146,146,146,0,0,0,0,2,2,0,false
125,125,125,0,0,0,0,1,1,0,false
75,76,76,0,0,0,0,1,1,0,false
47,48,48,0,0,0,0,1,1,0,false
34,34,34,0,0,0,0,1,1,0,false
39,39,39,0,0,0,0,1,1,0,false
36,37,37,0,0,0,0,1,1,0,false
79,80,80,0,0,0,0,1,1,0,false
28,29,29,0,0,0,0,1,1,0,false
422,423,423,0,1,0,1,4,2,1,false
211,215,215,43,43,43,43,2,1,1,false
88,89,89,0,0,0,0,2,1,1,false
57,58,58,0,0,0,0,1,1,0,false
43,44,44,0,0,0,0,2,1,1,false
27,28,28,0,0,0,0,1,1,0,false
25,26,26,2,2,2,2,2,1,1,false
53,54,54,0,0,-5,-5,2,1,1,false
105,106,106,1,1,1,1,2,2,0,true
107,108,108,1,1,1,1,2,2,0,true
85,85,85,1,1,1,1,2,1,0,false
54,54,54,0,0,0,0,1,1,0,false
78,78,78,0,0,0,0,1,1,0,false
98,98,98,0,0,4,4,2,2,0,false
78,78,78,0,0,0,0,2,1,0,false
77,77,77,0,0,0,0,1,1,0,false
